YEAR,REPDTE,REPDTE_CLEAN,NAME,CERT,CITY,STALP,ASSET,DEP,ROA,ROE,NIM_PERCENT,NIM_DOLLARS,EEFFR,NALTOT,NAASSET,HAS_FULL_HISTORY
2024,20240331,3/31/2024,PIEDMONT BANK,58374,PEACHTREE CORNER,GA,2079824,1836859,1.346814709,12.89,4.174525758,19930,55.17305115,,0,N
2022,20220331,3/31/2022,PINNACLE BANK,14065,ELBERTON,GA,2058158,1866245,1.012428161,11.52,3.307592711,15599,63.771797,0,1819,N
2024,20240331,3/31/2024,PINNACLE BANK,14065,ELBERTON,GA,2174160,1918210,1.030995285,12.29,3.751814809,18606,66.39665534,,766,N
2026,20260331,3/31/2026,PINNACLE BANK,14065,ELBERTON,GA,2345636,2091603,1.176857733,12.12,4.414238271,23593,68.08022149,,2053,N
2022,20220331,3/31/2022,PRIMESOUTH BANK,5694,BLACKSHEAR,GA,1114380,1018843,1.160498802,13.54,3.359388056,8845,56.92221809,0,3041,N
2024,20240331,3/31/2024,PRIMESOUTH BANK,5694,BLACKSHEAR,GA,1257698,1103985,1.473639088,15.44,4.259083574,12632,55.33495314,,632,N
2026,20260331,3/31/2026,PRIMESOUTH BANK,5694,BLACKSHEAR,GA,1538347,1306022,1.871020936,17.12,4.632135527,16737,47.07770004,,14157,N
2020,20200331,3/31/2020,QUEENSBOROUGH NB&T CO,2138,LOUISVILLE,GA,1234803,1081468,0.958193865,9.36,3.925953403,11113,71.9844861,0,25287,Y
2022,20220331,3/31/2022,QUEENSBOROUGH NB&T CO,2138,LOUISVILLE,GA,2021107,1881041,0.849092071,12.01,2.856437536,13755,71.44434629,0,13725,Y
2024,20240331,3/31/2024,QUEENSBOROUGH NB&T CO,2138,LOUISVILLE,GA,2114308,1888716,0.702475893,9.64,3.184212867,15525,72.98299845,,4615,Y
2026,20260331,3/31/2026,QUEENSBOROUGH NB&T CO,2138,LOUISVILLE,GA,2342102,2111006,1.064157158,13.24,3.825037465,20212,65.81120825,,2234,Y
2020,20200331,3/31/2020,RBC BANK GEORGIA NA,26342,ATLANTA,GA,4356173,3852216,0.832334259,8.26,2.615479937,28557,43.5483871,0,2572,Y
2022,20220331,3/31/2022,RBC BANK GEORGIA NA,26342,ATLANTA,GA,6146175,5608505,0.722305201,8.75,1.393231393,20895,54.96283724,0,7961,Y
2024,20240331,3/31/2024,RBC BANK GEORGIA NA,26342,ATLANTA,GA,6494995,5762018,2.338503228,23.34,3.797961456,60277,30.61625468,,4822,Y
2026,20260331,3/31/2026,RBC BANK GEORGIA NA,26342,ATLANTA,GA,8785816,7773634,2.297915202,21.57,3.987715367,82102,30.90211528,,16896,Y
2020,20200331,3/31/2020,RELIANT BANK,58366,BRENTWOOD,TN,2170602,1733506,0.807049491,6.23,3.895495026,18072,66.41612252,0,3949,N
2024,20240331,3/31/2024,SECURITY BANK&TRUST CO,9172,PARIS,TN,1218482,1056996,1.156867629,11.38,2.732718578,7718,52.63282452,,5,N
2026,20260331,3/31/2026,SECURITY BANK&TRUST CO,9172,PARIS,TN,1601377,1359404,1.572047918,14.08,3.471747013,12766,47.11738165,,192,N
2020,20200331,3/31/2020,SECURITY FEDERAL BANK,31100,AIKEN,SC,1029261,801675,0.569488775,5.32,3.256105606,7484,80.51539912,0,3795,Y
2022,20220331,3/31/2022,SECURITY FEDERAL BANK,31100,AIKEN,SC,1299490,1146141,0.579933977,6.23,2.770851606,8447,77.97551789,0,2817,Y
2024,20240331,3/31/2024,SECURITY FEDERAL BANK,31100,AIKEN,SC,1455108,1231924,0.425245412,5.32,2.858201187,9761,79.75495916,,6635,Y
2026,20260331,3/31/2026,SECURITY FEDERAL BANK,31100,AIKEN,SC,1562169,1377437,0.785074591,8.39,3.261187108,11805,71.77385748,,5416,Y
